ats,slug,url,verdict,jobs
zwayam,10kinfo.openings.co,https://10kinfo.openings.co,dead,
zwayam,247-inc.openings.co,https://247-inc.openings.co,dead,
zwayam,247inc.openings.co,https://247inc.openings.co,dead,
zwayam,24e_services.openings.co,https://24e_services.openings.co,dead,
zwayam,25chutti.openings.co,https://25chutti.openings.co,dead,
zwayam,2coms.openings.co,https://2coms.openings.co,live,0
zwayam,30days.openings.co,https://30days.openings.co,dead,
zwayam,31west.openings.co,https://31west.openings.co,dead,
zwayam,360realtors.openings.co,https://360realtors.openings.co,dead,
zwayam,360technosoft.openings.co,https://360technosoft.openings.co,dead,
zwayam,360wellsols.openings.co,https://360wellsols.openings.co,dead,
zwayam,3ds.openings.co,https://3ds.openings.co,live,0
zwayam,3rdeyeadvisory.openings.co,https://3rdeyeadvisory.openings.co,dead,
zwayam,42works.openings.co,https://42works.openings.co,dead,
zwayam,5ines.openings.co,https://5ines.openings.co,dead,
zwayam,7-elevencorporateservicesindiallp.openings.co,https://7-elevencorporateservicesindiallp.openings.co,live,0
zwayam,8951b02fcbddc0a52a252fe953c671b3.openings.co,https://8951b02fcbddc0a52a252fe953c671b3.openings.co,live,0
zwayam,99games.openings.co,https://99games.openings.co,dead,
zwayam,99loans.com,https://99loans.com,dead,
zwayam,9artsmedia.openings.co,https://9artsmedia.openings.co,dead,
zwayam,a10digital.openings.co,https://a10digital.openings.co,dead,
zwayam,aadavantmed1.openings.co,https://aadavantmed1.openings.co,live,0
zwayam,aakash-ac.openings.co,https://aakash-ac.openings.co,dead,
zwayam,aaravinfotech.openings.co,https://aaravinfotech.openings.co,dead,
zwayam,aaravsoftware.openings.co,https://aaravsoftware.openings.co,dead,
zwayam,aashiyanandragogy.openings.co,https://aashiyanandragogy.openings.co,dead,
zwayam,abadhotels.openings.co,https://abadhotels.openings.co,dead,
zwayam,abagroup-co.openings.co,https://abagroup-co.openings.co,dead,
zwayam,abansfinanceprivatelimited.openings.co,https://abansfinanceprivatelimited.openings.co,live,0
zwayam,abbindialimited.openings.co,https://abbindialimited.openings.co,live,0
zwayam,ableducation.openings.co,https://ableducation.openings.co,dead,
zwayam,absyntech.openings.co,https://absyntech.openings.co,dead,
zwayam,acadgild.openings.co,https://acadgild.openings.co,dead,
zwayam,accelinedigitalmediaprivatelimited.openings.co,https://accelinedigitalmediaprivatelimited.openings.co,live,0
zwayam,accg.openings.co,https://accg.openings.co,dead,
zwayam,accionlabs.cluster2.openings.co,https://accionlabs.cluster2.openings.co,dead,
